P1,sigma_mu,SLNN [1] BER,SLNN [1] FER,without coding BER,without coding FER,BCH+sparse BER,BCH+sparse FER,only-BCH BER,only-BCH FER,only-sparse (ML decoding) BER,only-sparse (ML decoding) FER
2.000000000000e-04,10,1.554887218045e-04,3.473684210526e-04,3.156156075774e-03,2.188500170130e-02,1.098684210526e-04,4.526315789474e-04,3.375000000000e-07,2.000000000000e-06,5.236090225564e-04,1.130526315789e-03
2.000000000000e-04,11,3.780219780220e-04,8.102564102564e-04,5.812931854147e-03,3.998776414423e-02,1.753472222222e-04,7.944444444444e-04,5.400000000000e-06,3.600000000000e-05,1.551648351648e-03,3.266666666667e-03
2.000000000000e-04,12,8.946428571429e-04,1.950000000000e-03,9.363480411472e-03,6.373165820629e-02,4.913461538462e-04,2.092307692308e-03,2.934272300469e-05,1.943661971831e-04,3.098214285714e-03,6.437500000000e-03
2.000000000000e-04,13,2.073469387755e-03,4.542857142857e-03,1.369768831666e-02,9.203238800075e-02,1.365000000000e-03,6.000000000000e-03,1.005952380952e-04,6.761904761905e-04,6.432653061224e-03,1.394285714286e-02
2.000000000000e-04,14,4.790476190476e-03,1.066666666667e-02,1.867472413611e-02,1.236231530789e-01,3.066666666667e-03,1.340000000000e-02,3.929687500000e-04,2.512500000000e-03,1.114285714286e-02,2.346666666667e-02
2.000000000000e-04,15,8.385714285714e-03,1.780000000000e-02,2.415872290713e-02,1.573362908194e-01,5.431250000000e-03,2.300000000000e-02,9.392857142857e-04,5.971428571429e-03,1.812857142857e-02,3.960000000000e-02
