sigma_mu,P1,SLNN [1] BER,SLNN [1] FER,without coding BER,without coding FER,BCH+sparse BER,BCH+sparse FER,only-sparse (ML decoding) BER,only-sparse (ML decoding) FER
10,2.000000000000e-08,3.353454057679e-05,7.136150234742e-05,3.104981106693e-03,2.153345315789e-02,2.332089552239e-05,1.014925373134e-04,3.812877263581e-04,8.159624413146e-04
10,2.000000000000e-07,3.353454057679e-05,7.136150234742e-05,3.105027168861e-03,2.153376963253e-02,2.332089552239e-05,1.014925373134e-04,3.812877263581e-04,8.159624413146e-04
10,2.000000000000e-06,3.660942637925e-05,7.723785166240e-05,3.105487790539e-03,2.153693437406e-02,2.381178707224e-05,1.034220532319e-04,3.841432225064e-04,8.225063938619e-04
10,2.000000000000e-05,4.558689717925e-05,9.554140127389e-05,3.110094006418e-03,2.156858130065e-02,3.558238636364e-05,1.443181818182e-04,3.935395814377e-04,8.394904458599e-04
10,2.000000000000e-04,1.554887218045e-04,3.473684210526e-04,3.156156075774e-03,2.188500170130e-02,1.098684210526e-04,4.526315789474e-04,5.236090225564e-04,1.130526315789e-03
10,2.000000000000e-03,1.502857142857e-03,3.420000000000e-03,3.616767826126e-03,2.504432349135e-02,7.930555555556e-04,3.422222222222e-03,1.954285714286e-03,4.300000000000e-03
10,2.000000000000e-02,1.322857142857e-02,2.950000000000e-02,8.221991008042e-03,5.615360759502e-02,8.762500000000e-03,3.560000000000e-02,1.395714285714e-02,3.020000000000e-02
